author	epoche	genre	title	textPath	label	n_sent	n_tok	n_tok_no_punct	n_adja	n_nn	n_v	n_vv	n_vfin	n_vvfin	n_konj_vf	n_konj_vvf	n_acc	n_dat	n_acc_doppelt	n_dat_doppelt
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Die Serapionsbrüder/Vierter Band/Siebenter Abschnitt/Signor Formica	Literatur-Hoffmann,-E.-T.-A./tg136.txt	not defined	1330	36926	30244	1901	5319	5117	3818	3409	2249	98	27	465	1178	337	484
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Die Serapionsbrüder/Zweiter Band/Dritter Abschnitt/[Eine Spukgeschichte]	Literatur-Hoffmann,-E.-T.-A./tg112.txt	not defined	106	3093	2573	187	461	445	336	315	218	14	3	33	104	26	53
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Die Serapionsbrüder/Zweiter Band/Dritter Abschnitt/Der Kampf der Sänger	Literatur-Hoffmann,-E.-T.-A./tg111.txt	not defined	797	20463	17378	1313	3115	2772	2090	1870	1261	38	7	260	738	186	311
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Die Serapionsbrüder/Zweiter Band/Dritter Abschnitt/Die Automate	Literatur-Hoffmann,-E.-T.-A./tg113.txt	not defined	307	11363	9751	746	1812	1531	1100	997	620	29	3	158	379	117	200
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Die Serapionsbrüder/Zweiter Band/Dritter Abschnitt/Doge und Dogaresse	Literatur-Hoffmann,-E.-T.-A./tg114.txt	not defined	758	20962	17312	1293	3174	2732	2119	1946	1397	36	11	276	763	217	329
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Die Serapionsbrüder/Zweiter Band/Vierter Abschnitt/[Alte und neue Kirchenmusik]	Literatur-Hoffmann,-E.-T.-A./tg116.txt	not defined	124	4122	3504	323	755	472	321	308	178	7	1	38	140	27	75
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Die Serapionsbrüder/Zweiter Band/Vierter Abschnitt/Das fremde Kind	Literatur-Hoffmann,-E.-T.-A./tg118.txt	not defined	692	18469	15176	911	2518	2597	1892	1900	1243	54	15	212	549	160	214
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Die Serapionsbrüder/Zweiter Band/Vierter Abschnitt/Meister Martin der Küfner und seine Gesellen	Literatur-Hoffmann,-E.-T.-A./tg117.txt	not defined	991	26013	21458	1373	3620	3653	2625	2536	1632	88	13	308	782	231	331
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Fantasiestücke in Callots Manier	Literatur-Hoffmann,-E.-T.-A./tg27.txt	not defined	5550	139770	116592	8345	21620	18335	13284	12504	7990	390	83	1754	4411	1220	1943
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Klein Zaches	Literatur-Hoffmann,-E.-T.-A./tg84.txt	not defined	1692	41949	34263	2364	6664	5571	4222	3973	2741	88	18	579	1291	417	576
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Letzte Erzählungen/Datura fastuosa	Literatur-Hoffmann,-E.-T.-A./tg196.txt	not defined	863	22233	18241	1207	3349	3056	2206	2088	1342	63	14	274	691	189	331
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Letzte Erzählungen/Der Elementargeist	Literatur-Hoffmann,-E.-T.-A./tg185.txt	not defined	660	18107	15086	1003	2657	2559	1958	1721	1191	46	8	228	563	179	261
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Letzte Erzählungen/Der Feind	Literatur-Hoffmann,-E.-T.-A./tg208.txt	not defined	706	17593	14696	1088	2981	2381	1782	1647	1116	48	6	196	601	135	268
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Letzte Erzählungen/Des Vetters Eckfenster	Literatur-Hoffmann,-E.-T.-A./tg203.txt	not defined	461	10929	9203	829	1955	1356	1021	942	646	19	1	147	342	111	122
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Letzte Erzählungen/Die Doppeltgänger	Literatur-Hoffmann,-E.-T.-A./tg187.txt	not defined	791	20664	17043	1233	3386	2866	2103	1929	1260	50	11	252	680	180	293
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Letzte Erzählungen/Die Geheimnisse	Literatur-Hoffmann,-E.-T.-A./tg178.txt	not defined	596	14532	12106	786	2285	2058	1467	1366	851	53	3	189	461	139	198
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Letzte Erzählungen/Die Genesung	Literatur-Hoffmann,-E.-T.-A./tg205.txt	not defined	135	3421	2853	219	577	455	351	317	225	7	3	49	118	38	47
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Letzte Erzählungen/Die Irrungen	Literatur-Hoffmann,-E.-T.-A./tg171.txt	not defined	635	17043	14047	936	2651	2309	1698	1542	1005	45	5	224	593	166	254
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Letzte Erzählungen/Die Marquise de la Pivardiere	Literatur-Hoffmann,-E.-T.-A./tg170.txt	not defined	493	12945	10862	547	2029	1936	1428	1180	754	32	0	181	388	133	148
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Letzte Erzählungen/Die Räuber	Literatur-Hoffmann,-E.-T.-A./tg186.txt	not defined	642	16596	13822	893	2530	2387	1790	1603	1094	47	7	210	564	166	235
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Letzte Erzählungen/Haimatochare	Literatur-Hoffmann,-E.-T.-A./tg169.txt	not defined	212	4700	3911	294	708	638	455	396	233	8	2	63	141	39	55
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Letzte Erzählungen/Meister Johannes Wacht	Literatur-Hoffmann,-E.-T.-A./tg207.txt	not defined	690	18644	15858	1341	3289	2511	1801	1583	976	50	5	237	631	159	282
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Letzte Erzählungen/Neueste Schicksale eines abenteuerlichen Mannes	Literatur-Hoffmann,-E.-T.-A./tg206.txt	not defined	61	1766	1506	133	277	222	158	142	85	2	0	21	53	20	25
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Meister Floh	Literatur-Hoffmann,-E.-T.-A./tg160.txt	not defined	2307	60538	50616	3504	9383	8573	6080	5629	3457	190	36	790	1769	588	776
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Nachtstücke/Erster Teil/Das Sanctus	Literatur-Hoffmann,-E.-T.-A./tg75.txt	not defined	270	7415	6149	407	1229	1000	775	693	487	14	0	83	254	47	101
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Nachtstücke/Erster Teil/Der Sandmann	Literatur-Hoffmann,-E.-T.-A./tg72.txt	not defined	667	14784	12217	833	2027	2094	1519	1481	964	29	4	193	444	141	197
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Nachtstücke/Erster Teil/Die Jesuiterkirche in G.	Literatur-Hoffmann,-E.-T.-A./tg74.txt	not defined	498	11879	9833	654	1844	1654	1200	1118	716	41	9	155	370	111	168
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Nachtstücke/Erster Teil/Ignaz Denner	Literatur-Hoffmann,-E.-T.-A./tg73.txt	not defined	949	22592	19291	1103	3527	3469	2497	2231	1396	58	5	336	831	229	323
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Nachtstücke/Zweiter Teil/Das Gelübde	Literatur-Hoffmann,-E.-T.-A./tg79.txt	not defined	436	12404	10350	656	2002	1739	1339	1144	799	29	4	201	471	150	189
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Nachtstücke/Zweiter Teil/Das Majorat	Literatur-Hoffmann,-E.-T.-A./tg78.txt	not defined	1216	33557	27756	1827	5086	4674	3528	3231	2240	70	19	454	1175	324	526
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Nachtstücke/Zweiter Teil/Das öde Haus	Literatur-Hoffmann,-E.-T.-A./tg77.txt	not defined	444	13514	11402	881	2102	1821	1400	1233	860	21	2	168	448	127	193
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Nachtstücke/Zweiter Teil/Das steinerne Herz	Literatur-Hoffmann,-E.-T.-A./tg80.txt	not defined	388	10498	8614	693	1604	1376	1037	970	667	13	4	129	374	102	155
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Prinzessin Brambilla	Literatur-Hoffmann,-E.-T.-A./tg150.txt	not defined	2061	52586	43085	3105	7777	6952	5182	4783	3203	134	27	661	1536	473	728
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Seltsame Leiden eines Theaterdirektors	Literatur-Hoffmann,-E.-T.-A./tg81.txt	not defined	1911	41429	34415	2626	6635	5410	3829	3522	2128	117	17	521	1181	349	581
Hoffmann, E. T. A.	Romantik	Roman	Romane/Die Elixiere des Teufels	Literatur-Hoffmann,-E.-T.-A./tg4.txt	Romantik_Kern	4698	127924	106904	6834	19801	18259	13460	12380	8183	295	65	1772	4276	1268	1984
Hoffmann, E. T. A.	Romantik	Roman	Romane/Lebensansichten des Katers Murr	Literatur-Hoffmann,-E.-T.-A./tg15.txt	Romantik_Kern	5856	162907	133954	9087	24837	22343	16494	15173	10049	461	77	2045	4875	1499	2202
Hölderlin, Friedrich	Romantik	Roman	Roman/Fragment von Hyperion	Literatur-Hoelderlin,-Friedrich/tg323.txt	Romantik_Kern	489	8425	7014	349	1227	1221	822	930	568	34	7	93	257	62	118
Hölderlin, Friedrich	Romantik	Roman	Roman/Hyperion oder der Eremit in Griechenland	Literatur-Hoelderlin,-Friedrich/tg331.txt	Romantik_Kern	3134	57228	47824	2217	8382	8265	5491	6212	3682	222	26	513	1658	384	816
Hölderlin, Friedrich	Romantik	Roman	Roman/Hyperions Jugend	Literatur-Hoelderlin,-Friedrich/tg324.txt	Romantik_Kern	717	14269	11977	558	1922	2159	1473	1619	992	135	17	148	460	88	240
Huber, Therese	not defined	Roman	Die Familie Seldorf	droro_e1/Huber_Therese_Die_Familie_Seldorf.txt	Romantik_E1	4016	108194	92730	5912	18246	15455	11276	10633	6999	583	58	1601	3963	972	1433
Huber, Therese	not defined	Roman	Ellen Percy	droro_e1/Huber_Therese_Ellen_Percy.txt	Romantik_E1	4172	105190	88636	4751	16702	15517	11226	10104	6399	578	79	1495	3401	836	1195
Huber, Therese	not defined	Roman	Luise	droro_e1/Huber_Therese_Luise.txt	Romantik_E1	1882	45911	39350	1726	7490	7190	5013	4503	2661	462	31	688	1534	362	514
Jacobi, Friedrich Heinrich	not defined	Roman	Aus Eduard Allwills Papieren	droro_e2/Jacobi_Friedrich_Heinrich_Aus_Eduard_Allwills_Papieren.txt	Romantik_E2	1597	30013	24855	1341	4404	4113	2720	2734	1517	177	26	317	763	187	304
Jacobi, Friedrich Heinrich	not defined	Roman	Woldemar	droro_e2/Jacobi_Friedrich_Heinrich_Woldemar.txt	Romantik_E2	2230	35700	29067	1171	4492	5219	3412	3620	2020	182	26	460	972	302	387
Jean Paul	not defined	Roman	Der Komet	droro_e1/Paul_Jean_Komet.txt	Romantik_E1	5807	169279	144804	9391	28572	19754	13932	12788	7523	708	110	2104	5372	1142	2397
Jean Paul	Romantik	Roman	Romane und Erzählungen/Blumen-, Frucht- und Dornenstücke	Literatur-Jean-Paul/tg160.txt	Romantik_Kern	7716	208073	177230	11748	35201	25120	17775	17299	10631	828	126	2898	6090	1813	2806
Jean Paul	Romantik	Roman	Romane und Erzählungen/Des Feldpredigers Schmelzle Reise nach Flätz	Literatur-Jean-Paul/tg472.txt	Romantik_E1	976	26024	21964	1286	4217	3108	2257	2063	1310	128	25	351	768	187	377
Jean Paul	Romantik	Roman	Romane und Erzählungen/Des Luftschiffers Giannozzo Seebuch	Literatur-Jean-Paul/tg387.txt	Romantik_E1	1310	31393	26672	1697	5533	3578	2618	2528	1662	122	17	406	934	258	472
Jean Paul	Romantik	Roman	Romane und Erzählungen/Die unsichtbare Loge	Literatur-Jean-Paul/tg4.txt	Romantik_E1	6511	174365	149340	9683	29702	21455	14761	14952	8943	863	152	2377	5378	1486	2546
Jean Paul	Romantik	Erzählung	Romane und Erzählungen/Die wunderbare Gesellschaft in der Neujahrsnacht	Literatur-Jean-Paul/tg402.txt	not defined	199	5931	5080	374	1052	683	496	464	298	10	2	61	190	40	91
Jean Paul	Romantik	Roman	Romane und Erzählungen/Dr. Katzenbergers Badereise	Literatur-Jean-Paul/tg483.txt	Romantik_E1	3876	98272	83326	5227	16370	11676	8458	7872	4960	440	75	1334	2912	759	1314
Jean Paul	Romantik	Roman	Romane und Erzählungen/Flegeljahre	Literatur-Jean-Paul/tg403.txt	Romantik_Kern	8054	188303	157286	9514	31512	23189	17212	16610	11178	654	107	2575	5356	1570	2416
Jean Paul	Romantik	Roman	Romane und Erzählungen/Hesperus oder 45 Hundsposttage	Literatur-Jean-Paul/tg68.txt	Romantik_Kern	10463	290291	246676	16075	50172	35160	24703	24616	15157	1287	177	4175	8615	2500	3831
Jean Paul	Romantik	Roman	Romane und Erzählungen/Leben des Quintus Fixlein	Literatur-Jean-Paul/tg132.txt	Romantik_E1	3001	89976	77176	4998	16074	10798	7506	7365	4382	443	55	1275	2765	791	1279
Jean Paul	Romantik	Roman	Romane und Erzählungen/Titan	Literatur-Jean-Paul/tg199.txt	Romantik_E1	13148	314158	263977	18385	51713	37397	28048	27582	18985	780	138	4412	9700	2695	4449
Jean Paul	not defined	Roman	Selina oder über die Unsterblichkeit der Seele	droro_e1/Paul_Jean_Selina.txt	Romantik_E1	1695	47026	40787	3031	8990	4993	3604	3399	2129	150	32	585	1371	284	614
Jensen, Wilhelm	Realismus	prose	Erzählung/Gradiva	Literatur-Jensen,-Wilhelm/tg4.txt	not defined	1000	28765	25043	1662	4396	3545	2603	2350	1574	60	12	438	1184	259	553
Keller, Gottfried	Realismus	prose	Erzählungen/Das Sinngedicht	Literatur-Keller,-Gottfried/tg830.txt	not defined	3823	100467	87935	5386	15482	14997	11090	9889	6466	289	51	1416	3662	933	1587
Keller, Gottfried	Realismus	prose	Erzählungen/Die Leute von Seldwyla/Erster Band/Die drei gerechten Kammacher	Literatur-Keller,-Gottfried/tg805.txt	not defined	558	16988	14827	895	2471	2399	1771	1657	1086	69	14	216	524	156	230
Keller, Gottfried	Realismus	prose	Erzählungen/Die Leute von Seldwyla/Erster Band/Frau Regel Amrain und ihr Jüngster	Literatur-Keller,-Gottfried/tg804.txt	not defined	577	18260	16041	1000	2646	2685	1958	1771	1134	69	9	250	557	159	244
Keller, Gottfried	Realismus	prose	Erzählungen/Die Leute von Seldwyla/Erster Band/Pankraz, der Schmoller	Literatur-Keller,-Gottfried/tg802.txt	not defined	559	19881	17600	1211	2768	2820	2055	1888	1227	83	18	272	602	176	253
Keller, Gottfried	Realismus	prose	Erzählungen/Die Leute von Seldwyla/Erster Band/Romeo und Julia auf dem Dorfe	Literatur-Keller,-Gottfried/tg803.txt	not defined	1192	30144	25617	1459	4123	4522	3255	3234	2098	115	22	381	858	268	392
Keller, Gottfried	Realismus	prose	Erzählungen/Die Leute von Seldwyla/Erster Band/Spiegel, das Kätzchen. Ein Märchen	Literatur-Keller,-Gottfried/tg806.txt	not defined	594	15272	13125	730	2128	2341	1656	1600	993	62	15	163	458	116	198
Keller, Gottfried	Realismus	prose	Erzählungen/Die Leute von Seldwyla/Zweiter Band/Das verlorne Lachen	Literatur-Keller,-Gottfried/tg812.txt	not defined	1100	32813	28923	2007	5392	4696	3397	3039	1911	112	22	427	1135	232	510
Keller, Gottfried	Realismus	prose	Erzählungen/Die Leute von Seldwyla/Zweiter Band/Der Schmied seines Glückes	Literatur-Keller,-Gottfried/tg809.txt	not defined	450	10705	9301	596	1703	1530	1166	1083	765	22	2	149	355	103	165
Keller, Gottfried	Realismus	prose	Erzählungen/Die Leute von Seldwyla/Zweiter Band/Die mißbrauchten Liebesbriefe	Literatur-Keller,-Gottfried/tg810.txt	not defined	1213	27712	23802	1363	4171	4131	3123	2856	1946	86	25	408	889	268	366
Keller, Gottfried	Realismus	prose	Erzählungen/Die Leute von Seldwyla/Zweiter Band/Dietegen	Literatur-Keller,-Gottfried/tg811.txt	not defined	799	22194	19482	1195	3673	3179	2406	2186	1491	74	11	328	889	216	368
Keller, Gottfried	Realismus	prose	Erzählungen/Die Leute von Seldwyla/Zweiter Band/Kleider machen Leute	Literatur-Keller,-Gottfried/tg808.txt	not defined	660	16547	14266	880	2654	2410	1784	1642	1086	47	8	243	604	156	254
Keller, Gottfried	Realismus	prose	Erzählungen/Züricher Novellen/Erster Band/Der Landvogt von Greifensee	Literatur-Keller,-Gottfried/tg821.txt	not defined	1321	35149	30563	2172	5849	4874	3606	3293	2173	85	16	467	1306	282	565
Keller, Gottfried	Realismus	prose	Erzählungen/Züricher Novellen/Erster Band/Der Narr auf Manegg	Literatur-Keller,-Gottfried/tg820.txt	not defined	284	8082	7090	469	1392	1128	834	742	493	28	3	100	333	69	149
Keller, Gottfried	Realismus	prose	Erzählungen/Züricher Novellen/Erster Band/Hadlaub	Literatur-Keller,-Gottfried/tg819.txt	not defined	1034	28940	25265	1579	4798	3904	2930	2648	1772	74	13	397	1108	250	510
Keller, Gottfried	Realismus	prose	Erzählungen/Züricher Novellen/Zweiter Band/Das Fähnlein der sieben Aufrechten	Literatur-Keller,-Gottfried/tg823.txt	not defined	1200	25580	21687	1055	3814	3904	2766	2699	1671	85	21	319	723	197	290
Keller, Gottfried	Realismus	prose	Erzählungen/Züricher Novellen/Zweiter Band/Ursula	Literatur-Keller,-Gottfried/tg824.txt	not defined	960	24594	21276	1367	3917	3535	2618	2418	1584	40	6	319	921	209	389
Keller, Gottfried	Realismus	prose	Romane/Der grüne Heinrich [Erste Fassung]	Literatur-Keller,-Gottfried/tg658.txt	not defined	9755	304734	267292	20103	48091	41809	30765	28120	18396	1106	162	4275	10052	2732	4606
Keller, Gottfried	Realismus	prose	Romane/Der grüne Heinrich [Zweite Fassung]	Literatur-Keller,-Gottfried/tg702.txt	not defined	10461	286996	250518	17334	45353	40731	30202	27356	18111	1029	192	4014	10052	2560	4472
Keller, Gottfried	Realismus	prose	Romane/Martin Salander	Literatur-Keller,-Gottfried/tg777.txt	not defined	5316	111799	94589	5174	16724	17120	12112	11330	6881	440	66	1347	3480	859	1485
Kerner, Justinus	Romantik	Erzählung	Erzählung/Die Heimatlosen	Literatur-Kerner,-Justinus/tg516.txt	not defined	554	11077	9532	617	2068	1490	1119	1081	749	19	3	160	546	117	273
Kerner, Justinus	not defined	Roman	Reiseschatten	droro_e1/Kerner_Justinus_Reiseschatten.txt	Romantik_E1	3055	48179	40049	2148	8483	6415	4867	4793	3354	96	21	723	1682	482	719
Kleist, Heinrich von	Romantik	Erzählung	Erzählprosa/[Anekdoten und Kurzgeschichten]/Anekdote aus dem letzten preußischen Kriege	Literatur-Kleist,-Heinrich-von/tg380.txt	not defined	60	972	699	10	131	140	108	111	84	7	0	11	17	11	7
Kleist, Heinrich von	Romantik	Erzählung	Erzählprosa/[Anekdoten und Kurzgeschichten]/Der Neuere (glücklichere) Werther	Literatur-Kleist,-Heinrich-von/tg400.txt	not defined	20	644	515	14	97	91	73	63	48	1	0	10	24	8	8
Kleist, Heinrich von	Romantik	Erzählung	Erzählprosa/[Anekdoten und Kurzgeschichten]/Geistererscheinung	Literatur-Kleist,-Heinrich-von/tg409.txt	not defined	68	1768	1523	66	271	285	207	187	121	7	0	23	62	16	24
Kleist, Heinrich von	Romantik	Erzählung	Erzählprosa/[Anekdoten und Kurzgeschichten]/Geschichte eines merkwürdigen Zweikampfs	Literatur-Kleist,-Heinrich-von/tg408.txt	not defined	47	1007	861	14	178	153	111	106	69	1	0	23	47	18	18
Kleist, Heinrich von	Romantik	Erzählung	Erzählprosa/[Anekdoten und Kurzgeschichten]/Sonderbare Geschichte, die sich, zu meiner Zeit, in Italien	Literatur-Kleist,-Heinrich-von/tg398.txt	not defined	39	1255	1028	58	224	142	109	99	71	1	0	17	57	10	25
Kleist, Heinrich von	Romantik	Erzählung	Erzählprosa/[Anekdoten und Kurzgeschichten]/Unwahrscheinliche Wahrhaftigkeiten	Literatur-Kleist,-Heinrich-von/tg405.txt	not defined	60	1387	1100	46	245	182	130	121	76	4	2	22	42	11	24
Kleist, Heinrich von	Romantik	Erzählung	Erzählprosa/[Anekdoten und Kurzgeschichten]/Uralte Reichstagsfeierlichkeit, oder Kampf der Blinden mit dem	Literatur-Kleist,-Heinrich-von/tg391.txt	not defined	25	506	423	16	84	78	62	53	40	2	0	17	16	15	5
Kleist, Heinrich von	Romantik	Erzählung	Erzählprosa/[Anekdoten und Kurzgeschichten]/Wassermänner und Sirenen	Literatur-Kleist,-Heinrich-von/tg406.txt	not defined	29	724	619	46	118	96	69	78	54	0	0	4	32	4	11
Kleist, Heinrich von	Romantik	Erzählung	Erzählprosa/Erzählungen/Das Bettelweib von Locarno	Literatur-Kleist,-Heinrich-von/tg371.txt	not defined	32	1191	961	42	191	161	136	98	76	2	2	19	69	13	31
Kleist, Heinrich von	Romantik	Erzählung	Erzählprosa/Erzählungen/Das Erdbeben in Chili	Literatur-Kleist,-Heinrich-von/tg369.txt	not defined	253	6495	5384	278	982	950	697	657	432	43	2	83	257	55	102
Kleist, Heinrich von	Romantik	Erzählung	Erzählprosa/Erzählungen/Der Findling	Literatur-Kleist,-Heinrich-von/tg372.txt	not defined	209	7286	5971	271	1092	1035	773	675	444	20	5	104	317	81	147
Kleist, Heinrich von	Romantik	Erzählung	Erzählprosa/Erzählungen/Der Zweikampf	Literatur-Kleist,-Heinrich-von/tg374.txt	not defined	361	13897	11431	561	2578	1643	1218	1001	664	30	1	233	570	165	274
Kleist, Heinrich von	Romantik	Erzählung	Erzählprosa/Erzählungen/Die heilige Cäcilie	Literatur-Kleist,-Heinrich-von/tg373.txt	not defined	130	5141	4249	255	899	659	485	398	249	22	3	90	199	68	101
Kleist, Heinrich von	Romantik	Erzählung	Erzählprosa/Erzählungen/Die Marquise von O...	Literatur-Kleist,-Heinrich-von/tg368.txt	not defined	840	18119	14717	541	2628	2852	2070	1977	1289	169	14	254	611	189	216
Kleist, Heinrich von	Romantik	Erzählung	Erzählprosa/Erzählungen/Die Verlobung in St. Domingo	Literatur-Kleist,-Heinrich-von/tg370.txt	not defined	551	16059	13069	506	2571	2250	1687	1472	984	98	8	309	605	227	256
Kleist, Heinrich von	Romantik	Erzählung	Erzählprosa/Erzählungen/Michael Kohlhaas	Literatur-Kleist,-Heinrich-von/tg367.txt	not defined	1223	41863	34074	1382	6777	5701	4186	3628	2317	254	33	711	1714	503	684
Klingemann, August	Romantik	Roman	Roman/Die Nachtwachen des Bonaventura	Literatur-Klingemann,-August/tg57.txt	Romantik_Kern	1688	44863	38678	2214	6948	6128	4431	4174	2665	175	34	698	1500	411	714
Liebeskind, Margareta Sophia	Romantik	prose	Roman/Maria	Literatur-Liebeskind,-Margareta-Sophia/tg4.txt	Romantik_E2	5465	92459	77907	3747	12552	14558	9489	9613	5218	666	77	1117	2534	692	809
Ludwig, Otto	Realismus	prose	Erzählungen/Die Heiteretei und ihr Widerspiel	Literatur-Ludwig,-Otto/tg64.txt	not defined	6662	103830	83703	2608	12122	16736	10287	11669	6014	711	121	909	2305	651	1007
Ludwig, Otto	Realismus	prose	Erzählungen/Zwischen Himmel und Erde	Literatur-Ludwig,-Otto/tg63.txt	not defined	5239	83795	70923	2999	12051	13757	9300	9531	5561	391	50	991	2524	615	1166
Mereau, Sophie	Romantik	Roman	Romane/Amanda und Eduard	Literatur-Mereau,-Sophie/tg7.txt	Romantik_Kern	2712	60680	50312	3138	8527	8571	5897	5853	3525	210	37	737	1685	436	754
Mereau, Sophie	Romantik	Roman	Romane/Das Blüthenalter der Empfindung	Literatur-Mereau,-Sophie/tg4.txt	Romantik_E1	982	18596	15869	1272	3096	2684	1972	1815	1212	58	12	261	593	161	274
Meyer, Conrad Ferdinand	Realismus	prose	Erzählungen/Angela Borgia	Literatur-Meyer,-Conrad-Ferdinand/tg421.txt	not defined	2331	43806	36731	2407	7179	5840	4432	4218	2913	107	12	601	1492	376	605
Meyer, Conrad Ferdinand	Realismus	prose	Erzählungen/Das Amulett	Literatur-Meyer,-Conrad-Ferdinand/tg330.txt	not defined	1157	22564	18817	1110	3535	3275	2392	2316	1510	69	18	334	812	240	363
Meyer, Conrad Ferdinand	Realismus	prose	Erzählungen/Das Leiden eines Knaben	Literatur-Meyer,-Conrad-Ferdinand/tg406.txt	not defined	1103	20533	17293	1028	3390	2940	2163	2107	1391	66	10	266	557	169	242
Meyer, Conrad Ferdinand	Realismus	prose	Erzählungen/Der Heilige	Literatur-Meyer,-Conrad-Ferdinand/tg386.txt	not defined	2151	47695	41500	2685	8758	6458	4793	4558	3017	124	21	686	1776	447	711
Meyer, Conrad Ferdinand	Realismus	prose	Erzählungen/Der Schuß von der Kanzel	Literatur-Meyer,-Conrad-Ferdinand/tg374.txt	not defined	1034	17176	14195	1019	2946	2287	1678	1689	1119	49	11	235	542	159	241
Meyer, Conrad Ferdinand	Realismus	prose	Erzählungen/Die Hochzeit des Mönchs	Literatur-Meyer,-Conrad-Ferdinand/tg407.txt	not defined	2013	33470	27559	1802	5668	4559	3530	3406	2433	84	22	426	1045	257	462
Meyer, Conrad Ferdinand	Realismus	prose	Erzählungen/Die Richterin	Literatur-Meyer,-Conrad-Ferdinand/tg408.txt	not defined	2059	27884	22423	1064	4439	4161	3151	3278	2314	81	19	366	813	272	351
Meyer, Conrad Ferdinand	Realismus	prose	Erzählungen/Die Versuchung des Pescara	Literatur-Meyer,-Conrad-Ferdinand/tg414.txt	not defined	2843	45673	37490	2320	7054	6385	4733	4694	3144	116	22	502	1308	325	560
Meyer, Conrad Ferdinand	Realismus	prose	Erzählungen/Gustav Adolfs Page	Literatur-Meyer,-Conrad-Ferdinand/tg400.txt	not defined	911	16776	14069	1050	3022	2189	1656	1550	1061	41	4	218	530	141	231
Meyer, Conrad Ferdinand	Realismus	prose	Erzählungen/Jürg Jenatsch	Literatur-Meyer,-Conrad-Ferdinand/tg341.txt	not defined	3956	83806	71945	5894	14897	10907	7978	7527	4848	198	21	1191	3088	723	1275
Meyer, Conrad Ferdinand	Realismus	prose	Erzählungen/Plautus im Nonnenkloster	Literatur-Meyer,-Conrad-Ferdinand/tg434.txt	not defined	460	10650	9143	754	1898	1360	1022	973	667	37	9	137	339	100	138
Mörike, Eduard	not defined	Roman	Maler Nolten	droro_e2/Moerike_Eduard_Maler_Nolten.txt	Romantik_E2	7109	155016	131897	8395	23835	21728	15266	14625	9024	614	86	2027	4750	1318	1999
Moritz, Karl Philipp	Klassik	prose	Romane/Andreas Hartknopf. Eine Allegorie	Literatur-Moritz,-Karl-Philipp/tg9.txt	Romantik_E2	768	29076	24909	1269	4794	4241	2761	2821	1512	118	10	376	887	242	400
