author	epoche	genre	title	textPath	label	n_sent	n_tok	n_tok_no_punct	n_adja	n_nn	n_v	n_vv	n_vfin	n_vvfin	n_konj_vf	n_konj_vvf	n_acc	n_dat	n_acc_doppelt	n_dat_doppelt
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Siebenter Winterabend/Winter-Launen	Literatur-Arnim,-Ludwig-Achim-von/tg1255.txt	not defined	30	807	662	24	121	121	83	92	55	3	0	11	22	7	9
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Vierter Winterabend/Der Krieg	Literatur-Arnim,-Ludwig-Achim-von/tg1245.txt	not defined	62	1380	1134	42	216	223	146	158	85	2	0	12	37	6	17
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Vierter Winterabend/Philander unter den streifenden Soldaten	Literatur-Arnim,-Ludwig-Achim-von/tg1246.txt	not defined	587	14514	12012	432	2281	2214	1541	1563	951	99	16	174	440	104	163
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Zweiter Winterabend/Albert und Concordia	Literatur-Arnim,-Ludwig-Achim-von/tg1239.txt	not defined	30	877	765	49	150	127	96	89	60	1	0	9	37	6	16
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Zweiter Winterabend/Amtsbericht von dem Tode des Generals Grafen von Schaffgotsch	Literatur-Arnim,-Ludwig-Achim-von/tg1240.txt	not defined	555	13937	12006	537	2200	2232	1637	1488	954	60	3	197	510	134	167
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Zweiter Winterabend/Das wiedergefundene Paradies	Literatur-Arnim,-Ludwig-Achim-von/tg1238.txt	not defined	29	815	716	51	130	123	88	82	49	0	0	17	32	13	17
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Die drei liebreichen Schwestern und der glückliche Färber	Literatur-Arnim,-Ludwig-Achim-von/tg1269.txt	not defined	734	21249	17739	802	2960	3372	2357	2291	1367	100	12	280	725	167	280
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Die Majoratsherren	Literatur-Arnim,-Ludwig-Achim-von/tg1271.txt	not defined	673	15454	12904	717	2558	2293	1662	1565	985	60	13	175	552	106	218
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Isabella von Ägypten	Literatur-Arnim,-Ludwig-Achim-von/tg1268.txt	not defined	1596	47026	40138	1964	7072	7467	5185	4919	2847	234	28	606	1684	379	686
Arnim, Ludwig Achim von	not defined	Roman	Hollins Liebeleben	droro_kern/Arnim_Achim_von_Hollins_Liebeleben.txt	Romantik_Kern	1195	30327	26144	1560	5198	4294	3147	2994	1972	95	14	381	1067	203	490
Arnim, Ludwig Achim von	Romantik	Roman	Romane/Armut, Reichtum, Schuld und Buße der Gräfin Dolores	Literatur-Arnim,-Ludwig-Achim-von/tg1095.txt	Romantik_Kern	9070	192710	164042	8499	30686	28786	20375	19687	12066	789	113	2100	6720	1290	2765
Arnim, Ludwig Achim von	Romantik	Roman	Romane/Die Kronenwächter/Erster Band	Literatur-Arnim,-Ludwig-Achim-von/tg1173.txt	Romantik_Kern	3691	117345	99754	4488	18542	18528	13262	12643	7871	532	83	1544	4439	883	1677
Arnim, Ludwig Achim von	Romantik	Roman	Romane/Die Kronenwächter/Zweiter Band	Literatur-Arnim,-Ludwig-Achim-von/tg1216.txt	Romantik_Kern	4061	100809	85434	3625	15149	16338	11601	11315	7001	386	61	1400	3811	890	1483
Bernhardi, Sophie	Romantik	prose	Erzählungen/Wunderbilder und Träume/Alcandor und Angelica	Literatur-Bernhardi,-Sophie/tg82.txt	not defined	242	5811	4953	250	871	965	771	737	557	18	2	88	193	59	86
Bernhardi, Sophie	Romantik	prose	Erzählungen/Wunderbilder und Träume/Belinde	Literatur-Bernhardi,-Sophie/tg85.txt	not defined	204	4606	3946	164	753	805	627	593	423	14	5	73	178	55	65
Bernhardi, Sophie	Romantik	prose	Erzählungen/Wunderbilder und Träume/Das Reh	Literatur-Bernhardi,-Sophie/tg86.txt	not defined	255	5976	5135	246	949	966	766	745	553	15	7	72	251	53	93
Bernhardi, Sophie	Romantik	prose	Erzählungen/Wunderbilder und Träume/Das Vögelchen	Literatur-Bernhardi,-Sophie/tg83.txt	not defined	200	5314	4527	175	721	951	711	685	464	20	6	78	163	54	69
Bernhardi, Sophie	Romantik	prose	Erzählungen/Wunderbilder und Träume/Der Einsiedler und die Nonne	Literatur-Bernhardi,-Sophie/tg81.txt	not defined	233	4855	4122	177	777	847	653	624	441	20	3	67	167	49	87
Bernhardi, Sophie	Romantik	prose	Erzählungen/Wunderbilder und Träume/Der Unglückliche	Literatur-Bernhardi,-Sophie/tg84.txt	not defined	223	5644	4830	183	761	1027	752	723	461	21	5	72	209	49	67
Bernhardi, Sophie	Romantik	prose	Erzählungen/Wunderbilder und Träume/Die Bezauberungen der Nacht	Literatur-Bernhardi,-Sophie/tg88.txt	not defined	871	9854	8036	343	1613	1504	1145	1042	694	17	8	77	283	40	118
Bernhardi, Sophie	Romantik	prose	Erzählungen/Wunderbilder und Träume/Die Blume der Liebe	Literatur-Bernhardi,-Sophie/tg80.txt	not defined	460	9062	7674	326	1341	1579	1217	1187	845	23	8	121	321	86	146
Bernhardi, Sophie	Romantik	prose	Erzählungen/Wunderbilder und Träume/Die Quelle der Liebe	Literatur-Bernhardi,-Sophie/tg78.txt	not defined	152	4569	3922	182	718	746	591	531	380	14	2	70	171	46	62
Bernhardi, Sophie	Romantik	prose	Erzählungen/Wunderbilder und Träume/Die Stimme im Walde	Literatur-Bernhardi,-Sophie/tg79.txt	not defined	254	5344	4551	205	760	931	713	722	513	13	3	74	195	47	102
Bernhardi, Sophie	Romantik	prose	Erzählungen/Wunderbilder und Träume/Die Waldgenossin	Literatur-Bernhardi,-Sophie/tg87.txt	not defined	177	3324	2796	144	566	522	409	382	270	9	4	35	118	20	39
Bernhardi, Sophie	Romantik	prose	Roman/Evremont	Literatur-Bernhardi,-Sophie/tg20.txt	Romantik_E2	8364	256652	223425	11839	41473	41982	28871	26690	15268	1599	138	3180	8153	1702	2965
Brentano, Clemens	Romantik	Erzählung	Erzählungen/Aus der Chronika eines fahrenden Schülers	Literatur-Brentano,-Clemens/tg542.txt	not defined	642	16215	13776	610	2384	2401	1667	1681	1011	39	8	199	630	111	232
Brentano, Clemens	Romantik	Erzählung	Erzählungen/Die drei Nüsse	Literatur-Brentano,-Clemens/tg549.txt	not defined	227	4838	4102	167	740	769	529	559	339	15	2	71	167	53	72
Brentano, Clemens	Romantik	Erzählung	Erzählungen/Die mehreren Wehmüller und ungarischen Nationalgesichter/Baciochis Erzählung vom wilden Jäger	Literatur-Brentano,-Clemens/tg548.txt	not defined	523	11559	9744	427	1772	1873	1357	1361	897	41	11	176	353	128	149
Brentano, Clemens	Romantik	Erzählung	Erzählungen/Die mehreren Wehmüller und ungarischen Nationalgesichter/Das Pickenick des Katers Mores	Literatur-Brentano,-Clemens/tg546.txt	not defined	130	3647	3167	151	614	541	388	369	237	8	1	79	165	57	59
Brentano, Clemens	Romantik	Erzählung	Erzählungen/Die mehreren Wehmüller und ungarischen Nationalgesichter/Devilliers Erzählung von den Hexen auf dem Austerfelsen	Literatur-Brentano,-Clemens/tg547.txt	not defined	28	866	754	38	143	130	101	88	60	3	0	11	45	10	14
Brentano, Clemens	Romantik	Erzählung	Erzählungen/Geschichte vom braven Kasperl und dem schönen Annerl	Literatur-Brentano,-Clemens/tg550.txt	not defined	732	14532	12237	438	2192	2405	1572	1758	980	55	10	211	501	151	190
