author	epoche	genre	title	textPath	label
Brentano, Clemens	Romantik	Märchen	Märchen-Sammlung/Rheinmärchen/Das Märchen von dem Rhein und dem Müller Radlauf	Literatur-Brentano,-Clemens/tg560.txt	not defined
Brentano, Clemens	Romantik	Roman	Roman/Godwi oder Das steinerne Bild der Mutter	Literatur-Brentano,-Clemens/tg454.txt	Romantik_Kern
Chamisso, Adelbert von	Romantik	Erzählung	Erzählungen/Adelberts Fabel	Literatur-Chamisso,-Adelbert-von/tg311.txt	not defined
Chamisso, Adelbert von	Romantik	Erzählung	Erzählungen/Peter Schlemihls wundersame Geschichte	Literatur-Chamisso,-Adelbert-von/tg312.txt	not defined
Droste-Hülshoff, Annette von	Romantik	prose	Erzählungen/Bei uns zulande auf dem Lande	Literatur-Droste-Huelshoff,-Annette-von/tg262.txt	not defined
Droste-Hülshoff, Annette von	Romantik	prose	Erzählungen/Die Judenbuche	Literatur-Droste-Huelshoff,-Annette-von/tg257.txt	not defined
Droste-Hülshoff, Annette von	Romantik	prose	Erzählungen/Ledwina	Literatur-Droste-Huelshoff,-Annette-von/tg256.txt	not defined
Droste-Hülshoff, Annette von	Romantik	prose	Erzählungen/Westfälische Schilderungen	Literatur-Droste-Huelshoff,-Annette-von/tg258.txt	not defined
Ebner-Eschenbach, Marie von	Realismus	prose	Erzählungen/Agave	Literatur-Ebner-Eschenbach,-Marie-von/tg126.txt	not defined
Ebner-Eschenbach, Marie von	Realismus	prose	Erzählungen/Das Schädliche	Literatur-Ebner-Eschenbach,-Marie-von/tg123.txt	not defined
Ebner-Eschenbach, Marie von	Realismus	prose	Erzählungen/Der gute Mond	Literatur-Ebner-Eschenbach,-Marie-von/tg120.txt	not defined
Ebner-Eschenbach, Marie von	Realismus	prose	Erzählungen/Der Herr Hofrat	Literatur-Ebner-Eschenbach,-Marie-von/tg132.txt	not defined
Ebner-Eschenbach, Marie von	Realismus	prose	Erzählungen/Der Kreisphysikus	Literatur-Ebner-Eschenbach,-Marie-von/tg114.txt	not defined
Ebner-Eschenbach, Marie von	Realismus	prose	Erzählungen/Der Vorzugsschüler	Literatur-Ebner-Eschenbach,-Marie-von/tg125.txt	not defined
Ebner-Eschenbach, Marie von	Realismus	prose	Erzählungen/Die Freiherren von Gemperlein	Literatur-Ebner-Eschenbach,-Marie-von/tg104.txt	not defined
Ebner-Eschenbach, Marie von	Realismus	prose	Erzählungen/Die Poesie des Unbewussten	Literatur-Ebner-Eschenbach,-Marie-von/tg112.txt	not defined
Ebner-Eschenbach, Marie von	Realismus	prose	Erzählungen/Ein Spätgeborner	Literatur-Ebner-Eschenbach,-Marie-von/tg95.txt	not defined
Ebner-Eschenbach, Marie von	Realismus	prose	Erzählungen/Er laßt die Hand küssen	Literatur-Ebner-Eschenbach,-Marie-von/tg121.txt	not defined
Ebner-Eschenbach, Marie von	Realismus	prose	Erzählungen/Ihr Traum	Literatur-Ebner-Eschenbach,-Marie-von/tg122.txt	not defined
Ebner-Eschenbach, Marie von	Realismus	prose	Erzählungen/Krambambuli	Literatur-Ebner-Eschenbach,-Marie-von/tg113.txt	not defined
Ebner-Eschenbach, Marie von	Realismus	prose	Erzählungen/Maslans Frau	Literatur-Ebner-Eschenbach,-Marie-von/tg124.txt	not defined
Ebner-Eschenbach, Marie von	Realismus	prose	Erzählungen/Nach dem Tode	Literatur-Ebner-Eschenbach,-Marie-von/tg111.txt	not defined
Ebner-Eschenbach, Marie von	Realismus	prose	Romane/Bozena	Literatur-Ebner-Eschenbach,-Marie-von/tg4.txt	not defined
Ebner-Eschenbach, Marie von	Realismus	prose	Romane/Das Gemeindekind	Literatur-Ebner-Eschenbach,-Marie-von/tg51.txt	not defined
Ebner-Eschenbach, Marie von	Realismus	prose	Romane/Ein kleiner Roman	Literatur-Ebner-Eschenbach,-Marie-von/tg40.txt	not defined
Ebner-Eschenbach, Marie von	Realismus	prose	Romane/Lotti, die Uhrmacherin	Literatur-Ebner-Eschenbach,-Marie-von/tg25.txt	not defined
Ebner-Eschenbach, Marie von	Realismus	prose	Romane/Unsühnbar	Literatur-Ebner-Eschenbach,-Marie-von/tg72.txt	not defined
Eichendorff, Joseph von	not defined	Roman	Dichter und ihre Gesellen	droro_kern/Eichendorff_Joseph_von_Dichter_und_Gesellen.txt	Romantik_Kern
Eichendorff, Joseph von	Romantik	Erzählung	Erzählungen/Auch ich war in Arkadien	Literatur-Eichendorff,-Joseph-von/tg596.txt	not defined
Eichendorff, Joseph von	Romantik	Erzählung	Erzählungen/Aus dem Leben eines Taugenichts	Literatur-Eichendorff,-Joseph-von/tg584.txt	not defined
Eichendorff, Joseph von	Romantik	Erzählung	Erzählungen/Das Marmorbild	Literatur-Eichendorff,-Joseph-von/tg583.txt	not defined
Eichendorff, Joseph von	Romantik	Erzählung	Erzählungen/Das Schloß Dürande	Literatur-Eichendorff,-Joseph-von/tg597.txt	not defined
Eichendorff, Joseph von	Romantik	Erzählung	Erzählungen/Die Glücksritter	Literatur-Eichendorff,-Joseph-von/tg598.txt	not defined
Eichendorff, Joseph von	Romantik	Erzählung	Erzählungen/Die Zauberei im Herbste	Literatur-Eichendorff,-Joseph-von/tg582.txt	not defined
Eichendorff, Joseph von	Romantik	Erzählung	Erzählungen/Viel Lärmen um Nichts	Literatur-Eichendorff,-Joseph-von/tg595.txt	not defined
